2025-04-14 20:58:58,563 - Master - INFO - Active Crawler Nodes: [1, 2, 3]
2025-04-14 20:58:58,564 - Master - INFO - Active Indexer Nodes: [4]
2025-04-14 20:58:58,648 - Master - INFO - Active Crawler Nodes: [1, 2, 3]
2025-04-14 20:58:58,648 - Master - INFO - Active Indexer Nodes: [4]
2025-04-14 20:58:58,705 - Master - INFO - Active Crawler Nodes: [1, 2, 3]
2025-04-14 20:58:58,706 - Master - INFO - Active Indexer Nodes: [4]
2025-04-14 20:58:58,707 - Master - INFO - Active Crawler Nodes: [1, 2, 3]
2025-04-14 20:58:58,708 - Master - INFO - Active Indexer Nodes: [4]
2025-04-14 20:58:58,728 - Master - INFO - Active Crawler Nodes: [1, 2, 3]
2025-04-14 20:58:58,729 - Master - INFO - Active Indexer Nodes: [4]
2025-04-14 21:08:37,857 - Master - INFO - Active Crawler Nodes: [1]
2025-04-14 21:08:37,857 - Master - INFO - Active Indexer Nodes: [2]
2025-04-14 21:08:37,857 - Master - INFO - Active Indexer Nodes: [2]
2025-04-14 21:08:37,858 - Master - INFO - Active Crawler Nodes: [1]
2025-04-14 21:08:37,859 - Master - INFO - Active Indexer Nodes: [2]
2025-04-14 21:09:00,069 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,069 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,069 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,171 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,170 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,171 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,272 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,272 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,272 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,373 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,375 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,377 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,473 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,475 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,479 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,575 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,576 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,579 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,676 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,677 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,680 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,778 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,779 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,782 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,881 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,883 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,885 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,982 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,984 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:09:00,986 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:10:25,061 - Master - INFO - Active Crawler Nodes: [1]
2025-04-14 21:10:25,061 - Master - INFO - Active Indexer Nodes: [2]
2025-04-14 21:10:25,062 - Master - INFO - Active Crawler Nodes: [1]
2025-04-14 21:10:25,062 - Master - INFO - Active Crawler Nodes: [1]
2025-04-14 21:10:25,062 - Master - INFO - Active Indexer Nodes: [2]
2025-04-14 21:10:25,062 - Master - INFO - Active Indexer Nodes: [2]
2025-04-14 21:13:08,396 - Master - INFO - Loaded configuration: {'seed_urls': ['google.com'], 'max_depth': 3, 'max_pages_per_domain': 1000, 'respect_robots': False, 'crawl_delay': 1.0, 'allowed_domains': [''], 'start_time': '2025-04-14T21:13:07.924837'}
2025-04-14 21:13:08,396 - Master - INFO - Active Crawler Nodes: [1]
2025-04-14 21:13:08,396 - Master - INFO - Active Indexer Nodes: [2]
2025-04-14 21:13:08,401 - Master - INFO - Loaded configuration: {'seed_urls': ['google.com'], 'max_depth': 3, 'max_pages_per_domain': 1000, 'respect_robots': False, 'crawl_delay': 1.0, 'allowed_domains': [''], 'start_time': '2025-04-14T21:13:07.924837'}
2025-04-14 21:13:08,402 - Master - INFO - Active Crawler Nodes: [1]
2025-04-14 21:13:08,403 - Master - INFO - Active Indexer Nodes: [2]
2025-04-14 21:13:08,402 - Master - INFO - Loaded configuration: {'seed_urls': ['google.com'], 'max_depth': 3, 'max_pages_per_domain': 1000, 'respect_robots': False, 'crawl_delay': 1.0, 'allowed_domains': [''], 'start_time': '2025-04-14T21:13:07.924837'}
2025-04-14 21:13:08,403 - Master - INFO - Active Crawler Nodes: [1]
2025-04-14 21:13:08,404 - Master - INFO - Active Indexer Nodes: [2]
2025-04-14 21:14:00,068 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,068 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,070 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,169 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,169 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,171 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,269 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,270 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,272 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,371 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,373 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,471 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,473 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,572 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,574 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,674 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,676 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,774 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,777 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,875 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,878 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,976 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:14:00,980 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:15:00,094 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:15:00,094 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:15:00,095 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:15:00,196 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:15:00,197 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
2025-04-14 21:15:00,196 - Master - INFO - Status: Queue=1, In Progress=0, Completed=0, Failed=0
